IssueID,LPO_Number,ItemCode,IssueDate,IssuedTo,IssuedToID,IssuedBy,IssuedQuantity,UnitCost,TotalCost,IssueType,TransportMode,DeliveryStatus,WaybillNo,Remarks,Department,RequestID,BatchNo,ExpiryDate,StorageCondition,QualityCheck,IssuedFromWarehouse
ISS-000911,LPO-003290,MED-ISS-2080,2025-04-07,Clinic,REC-5050,Judy Robinson,4,217.88,871.52,Loan,Sea,In Transit,WB-21207,,Laboratory,REQ-3847,BATCH-92116,2025-08-26,Refrigerated,Passed,Main Warehouse
ISS-000912,LPO-005991,MED-ISS-3864,2025-07-30,Clinic,REC-1875,Kari Valdez,54,347.4,18759.6,Regular,Sea,Pending,WB-34768,Temperature Sensitive,ICU,REQ-4599,BATCH-24750,2025-12-11,Cold Chain,Passed,Main Warehouse
ISS-000913,LPO-006027,MED-ISS-2326,2025-12-16,NGO,REC-3439,Logan Gray,43,188.29,8096.47,Regular,Sea,Delivered,WB-60872,,ER,REQ-2280,BATCH-88916,2026-08-27,Refrigerated,Passed,Satellite Store
ISS-000914,LPO-000055,MED-ANL-1601,2025-06-17,Pharmacy,REC-7542,John Berg,100,28.9,2890.0,Regular,Air,Pending,WB-97062,Fragile,Pediatrics,REQ-5072,BATCH-64122,2025-11-29,Frozen,Pending,Main Warehouse
ISS-000915,LPO-004765,MED-ISS-1053,2025-04-24,NGO,REC-3543,Alyssa Cardenas,88,336.45,29607.6,Regular,Courier,In Transit,WB-20989,Controlled Substance,Surgery,REQ-1510,BATCH-69343,2025-05-27,Refrigerated,Pending,Dispatch Center
ISS-000916,LPO-006052,MED-ISS-5005,2025-05-08,Pharmacy,REC-4201,Natalie Herring,11,256.15,2817.65,Loan,Sea,Partially Delivered,WB-49090,Temperature Sensitive,Maternity,REQ-8853,BATCH-95515,2026-04-27,Refrigerated,Conditional,Main Warehouse
ISS-000917,LPO-006562,MED-ISS-5175,2025-04-06,Pharmacy,REC-1141,Jennifer Mcclain,59,441.95,26075.05,Emergency,Air,In Transit,WB-71748,Temperature Sensitive,Maternity,REQ-4445,BATCH-79776,2026-02-25,Refrigerated,Failed,Satellite Store
ISS-000918,LPO-007032,MED-ISS-5975,2025-11-04,Pharmacy,REC-5874,Natalie Durham,85,319.41,27149.85,Donation,Courier,In Transit,WB-55999,Urgent,ICU,REQ-4902,BATCH-71022,2026-06-16,Room Temperature,Passed,Cold Storage
ISS-000919,LPO-005721,MED-ISS-3242,2025-01-01,Government Agency,REC-1168,Jeremy Thompson,90,271.16,24404.4,Emergency,Air,Pending,WB-98983,Controlled Substance,Pediatrics,REQ-2699,BATCH-23661,2025-02-15,Frozen,Failed,Cold Storage
ISS-000920,LPO-004427,MED-ISS-4102,2025-08-30,Hospital,REC-6694,Shannon Buckley,50,416.21,20810.5,Regular,Road,Pending,WB-65327,Urgent,Maternity,REQ-8554,BATCH-51039,2025-10-24,Refrigerated,Conditional,Satellite Store
ISS-000921,LPO-006115,MED-ISS-1970,2025-10-27,Government Agency,REC-1407,Linda Cook,90,54.57,4911.3,Emergency,Road,In Transit,WB-89568,Fragile,Maternity,REQ-3102,BATCH-87770,2026-08-20,Frozen,Failed,Cold Storage
ISS-000922,LPO-003445,MED-ISS-9414,2025-07-01,Hospital,REC-9881,Elizabeth Perez,11,474.08,5214.88,Regular,Road,Delivered,WB-32549,Fragile,Pediatrics,REQ-2016,BATCH-66594,2026-02-04,Frozen,Conditional,Dispatch Center
ISS-000923,LPO-005127,MED-ISS-2526,2025-06-07,Government Agency,REC-7931,Amanda Williams,3,247.81,743.43,Donation,Air,Delivered,WB-57239,Controlled Substance,Laboratory,REQ-1262,BATCH-98237,2025-09-16,Frozen,Pending,Dispatch Center
ISS-000924,LPO-005824,MED-ISS-9043,2025-03-23,NGO,REC-4681,Christina Howell,89,474.92,42267.88,Regular,Sea,Pending,WB-42710,Controlled Substance,Surgery,REQ-4284,BATCH-11440,2025-05-18,Refrigerated,Pending,Satellite Store
ISS-000925,LPO-005446,MED-ISS-9408,2025-12-07,Hospital,REC-6637,Donna Davidson,65,22.58,1467.7,Emergency,Sea,Partially Delivered,WB-23154,,ER,REQ-3226,BATCH-30035,2026-09-28,Room Temperature,Passed,Satellite Store
ISS-000926,LPO-006620,MED-ISS-7458,2025-09-22,Hospital,REC-6977,Elizabeth Becker,4,252.92,1011.68,Loan,Sea,Pending,WB-29578,Urgent,Pediatrics,REQ-7244,BATCH-47361,2025-11-12,Cold Chain,Conditional,Dispatch Center
ISS-000927,LPO-005114,MED-ISS-7399,2025-04-18,Hospital,REC-2215,Hailey Contreras,73,253.59,18512.07,Donation,Courier,Delivered,WB-38360,,OPD,REQ-5874,BATCH-99587,2026-03-22,Refrigerated,Conditional,Main Warehouse
ISS-000928,LPO-003756,MED-ISS-8374,2025-02-19,Pharmacy,REC-4520,Jeffrey Dominguez,3,68.42,205.26,Regular,Road,Partially Delivered,WB-99502,,Surgery,REQ-4360,BATCH-29110,2025-05-22,Refrigerated,Pending,Main Warehouse
ISS-000929,LPO-006581,MED-ISS-5693,2025-04-15,Hospital,REC-4429,Chelsea Woodward,97,22.13,2146.61,Return,Sea,Delivered,WB-95930,Temperature Sensitive,OPD,REQ-7109,BATCH-35553,2025-10-16,Room Temperature,Conditional,Cold Storage
ISS-000930,LPO-006314,MED-ISS-5749,2025-06-25,Government Agency,REC-8175,Jacqueline Medina,68,415.48,28252.64,Emergency,Sea,In Transit,WB-29983,Urgent,Laboratory,REQ-7495,BATCH-14604,2026-03-24,Refrigerated,Conditional,Main Warehouse
ISS-000931,LPO-005081,MED-ISS-4440,2025-03-03,Hospital,REC-4943,Kyle Knight,21,272.02,5712.42,Emergency,Road,In Transit,WB-37282,Fragile,Surgery,REQ-9357,BATCH-38721,2025-10-15,Frozen,Pending,Satellite Store
ISS-000932,LPO-005567,MED-ISS-7212,2025-10-12,Clinic,REC-3994,Daniel Pope,44,293.05,12894.2,Regular,Road,In Transit,WB-96945,Fragile,Pediatrics,REQ-6625,BATCH-94347,2026-02-12,Room Temperature,Passed,Cold Storage
ISS-000933,LPO-006404,MED-ISS-1901,2025-08-14,Hospital,REC-7831,Dana Wilson,32,240.26,7688.32,Return,Sea,Partially Delivered,WB-32991,,Pediatrics,REQ-8622,BATCH-43017,2026-05-25,Room Temperature,Failed,Dispatch Center
ISS-000934,LPO-005918,MED-ISS-1439,2025-05-17,Clinic,REC-4171,Russell Shelton,72,436.06,31396.32,Regular,Courier,Partially Delivered,WB-59017,Fragile,ICU,REQ-4010,BATCH-66236,2025-06-18,Frozen,Pending,Dispatch Center
ISS-000935,LPO-004639,MED-ISS-4641,2025-12-01,Pharmacy,REC-8583,Jeremy Smith,27,120.03,3240.81,Loan,Road,Delivered,WB-71081,Fragile,Laboratory,REQ-2707,BATCH-72621,2026-03-31,Refrigerated,Failed,Satellite Store
ISS-000936,LPO-001874,MED-ISS-8547,2025-02-01,Pharmacy,REC-3380,Joel Preston,3,183.29,549.87,Emergency,Sea,In Transit,WB-25871,Urgent,Pediatrics,REQ-7671,BATCH-45601,2025-08-13,Cold Chain,Conditional,Dispatch Center
ISS-000937,LPO-003411,MED-ISS-7658,2025-08-27,Clinic,REC-2468,Keith Nixon,47,422.1,19838.7,Loan,Road,Delivered,WB-49101,Urgent,Maternity,REQ-5381,BATCH-14581,2026-04-06,Refrigerated,Pending,Dispatch Center
ISS-000938,LPO-007091,MED-ISS-3654,2025-12-01,Government Agency,REC-9941,Shawn Robertson,22,489.52,10769.44,Return,Courier,Delivered,WB-78868,Urgent,OPD,REQ-2453,BATCH-99152,2026-06-19,Cold Chain,Pending,Cold Storage
ISS-000939,LPO-006112,MED-ISS-2795,2025-06-30,Clinic,REC-2315,Nicholas Bell,16,450.75,7212.0,Donation,Road,In Transit,WB-91179,Controlled Substance,Maternity,REQ-7810,BATCH-87480,2025-10-03,Refrigerated,Pending,Satellite Store
ISS-000940,LPO-005378,MED-ISS-5218,2025-11-23,Pharmacy,REC-9495,Connie Miller,57,458.35,26125.95,Return,Sea,In Transit,WB-20271,Temperature Sensitive,Laboratory,REQ-7943,BATCH-11177,2026-09-27,Frozen,Pending,Main Warehouse
ISS-000941,LPO-001125,MED-ISS-7283,2025-10-03,Government Agency,REC-6408,Levi Coleman,68,459.42,31240.56,Regular,Sea,Delivered,WB-80477,Fragile,Laboratory,REQ-9089,BATCH-27317,2026-03-02,Frozen,Passed,Dispatch Center
ISS-000942,LPO-005569,MED-ISS-5222,2025-08-28,Clinic,REC-7797,Jeffrey Crane,14,414.96,5809.44,Donation,Courier,Delivered,WB-53984,Fragile,Maternity,REQ-3035,BATCH-70076,2026-02-22,Room Temperature,Pending,Satellite Store
ISS-000943,LPO-006139,MED-ISS-6185,2025-05-19,NGO,REC-8224,Cassandra Martin,46,230.62,10608.52,Donation,Road,Partially Delivered,WB-75515,Temperature Sensitive,Maternity,REQ-8283,BATCH-78571,2026-05-13,Refrigerated,Pending,Dispatch Center
ISS-000944,LPO-005080,MED-ISS-3724,2025-03-18,Pharmacy,REC-6268,Debra Cruz,86,265.14,22802.04,Return,Sea,In Transit,WB-50128,Temperature Sensitive,Pediatrics,REQ-2416,BATCH-51150,2025-07-07,Room Temperature,Conditional,Satellite Store
ISS-000945,LPO-001975,MED-ISS-6770,2025-01-10,NGO,REC-6494,Jill Wright,23,362.96,8348.08,Return,Road,In Transit,WB-83065,Fragile,Maternity,REQ-4913,BATCH-47440,2025-12-03,Room Temperature,Passed,Dispatch Center
ISS-000946,LPO-005882,MED-ISS-2737,2025-06-22,Clinic,REC-5135,Donald Larson,54,484.35,26154.9,Donation,Sea,Delivered,WB-56085,Controlled Substance,Surgery,REQ-1074,BATCH-91975,2025-09-19,Room Temperature,Pending,Cold Storage
ISS-000947,LPO-003380,MED-ISS-3517,2025-04-18,Clinic,REC-6093,Kimberly Barajas,27,38.39,1036.53,Donation,Air,Delivered,WB-93355,Fragile,Laboratory,REQ-2298,BATCH-73152,2026-01-01,Frozen,Conditional,Cold Storage
ISS-000948,LPO-000036,MED-ANT-1727,2025-09-03,Pharmacy,REC-6175,Kristen Pratt,53,416.45,22071.85,Loan,Sea,In Transit,WB-75308,,Maternity,REQ-8535,BATCH-55507,2026-01-15,Room Temperature,Passed,Main Warehouse
ISS-000949,LPO-007081,MED-ISS-1314,2025-12-17,Hospital,REC-8916,Samantha Stanley,35,83.12,2909.2,Loan,Sea,Pending,WB-61387,Fragile,Maternity,REQ-2210,BATCH-19908,2026-04-01,Room Temperature,Failed,Cold Storage
ISS-000950,LPO-002447,MED-ISS-5115,2025-01-13,NGO,REC-5842,Shawn Wilkerson,96,388.16,37263.36,Donation,Courier,Pending,WB-88962,Controlled Substance,Pediatrics,REQ-1586,BATCH-76058,2025-07-18,Room Temperature,Passed,Dispatch Center
ISS-000951,LPO-005230,MED-ISS-8610,2025-08-28,Government Agency,REC-2799,Matthew Snyder,74,343.62,25427.88,Emergency,Road,Pending,WB-30554,Temperature Sensitive,ICU,REQ-1254,BATCH-87670,2026-06-13,Cold Chain,Conditional,Dispatch Center
ISS-000952,LPO-003614,MED-ISS-7537,2025-12-01,Government Agency,REC-5667,John Juarez,19,353.88,6723.72,Emergency,Courier,In Transit,WB-84128,Urgent,Pediatrics,REQ-3871,BATCH-68097,2026-09-29,Cold Chain,Failed,Main Warehouse
ISS-000953,LPO-005025,MED-ISS-8782,2025-07-06,Pharmacy,REC-3302,Vicki Mclaughlin,31,149.94,4648.14,Loan,Road,Pending,WB-35068,,Pediatrics,REQ-4999,BATCH-30111,2026-01-11,Frozen,Passed,Dispatch Center
ISS-000954,LPO-006727,MED-ISS-2013,2025-10-24,Clinic,REC-7263,Jamie Hall,38,271.58,10320.04,Loan,Road,Delivered,WB-73100,Urgent,Pediatrics,REQ-7076,BATCH-16977,2026-01-14,Room Temperature,Pending,Dispatch Center
ISS-000955,LPO-002651,MED-ISS-2364,2025-04-21,NGO,REC-9636,Ethan Young,23,104.12,2394.76,Regular,Courier,Delivered,WB-39357,Fragile,Surgery,REQ-5780,BATCH-17822,2025-08-09,Cold Chain,Pending,Cold Storage
ISS-000956,LPO-002885,MED-ISS-3121,2025-04-08,Government Agency,REC-3845,David Vincent,89,333.44,29676.16,Emergency,Road,Pending,WB-41052,,Surgery,REQ-7224,BATCH-13163,2025-06-06,Room Temperature,Failed,Dispatch Center
ISS-000957,LPO-006704,MED-ISS-5225,2025-01-30,NGO,REC-6541,Paul Paul,93,420.71,39126.03,Emergency,Road,Delivered,WB-67016,Fragile,Surgery,REQ-1505,BATCH-77626,2025-06-25,Cold Chain,Conditional,Cold Storage
ISS-000958,LPO-007043,MED-ISS-9220,2025-08-06,Pharmacy,REC-8636,Kimberly Burns,19,30.05,570.95,Loan,Road,Delivered,WB-99718,Fragile,Surgery,REQ-9177,BATCH-29104,2026-06-19,Frozen,Conditional,Dispatch Center
ISS-000959,LPO-000832,MED-ISS-7086,2025-04-15,Pharmacy,REC-4437,Tina Ross,59,223.02,13158.18,Regular,Air,Partially Delivered,WB-81197,,Maternity,REQ-6978,BATCH-22985,2026-04-08,Room Temperature,Failed,Main Warehouse
ISS-000960,LPO-001101,MED-ISS-9181,2025-11-28,Government Agency,REC-4450,Cynthia Fuller,48,472.53,22681.44,Return,Air,In Transit,WB-29608,Controlled Substance,OPD,REQ-1785,BATCH-25155,2026-09-30,Frozen,Failed,Cold Storage
ISS-000961,LPO-005829,MED-ISS-7979,2025-06-02,Pharmacy,REC-1718,Rodney Bradley,94,407.8,38333.2,Emergency,Courier,Partially Delivered,WB-96546,,Maternity,REQ-2657,BATCH-78935,2025-11-07,Cold Chain,Pending,Dispatch Center
ISS-000962,LPO-007028,MED-ISS-1544,2025-07-17,Government Agency,REC-7804,Isabel Farmer,98,123.24,12077.52,Loan,Sea,Partially Delivered,WB-64969,,Pediatrics,REQ-8447,BATCH-11009,2025-10-30,Room Temperature,Conditional,Cold Storage
ISS-000963,LPO-004333,MED-ISS-1279,2025-09-10,Government Agency,REC-1430,Sarah Harrison,29,318.98,9250.42,Loan,Courier,Pending,WB-86805,Fragile,Pediatrics,REQ-5721,BATCH-31242,2025-12-08,Refrigerated,Pending,Cold Storage
ISS-000964,LPO-005887,MED-ISS-4631,2025-07-29,NGO,REC-8696,Robert Mayo,49,331.46,16241.54,Return,Sea,In Transit,WB-51136,,Pediatrics,REQ-9841,BATCH-62845,2025-12-16,Cold Chain,Passed,Satellite Store
ISS-000965,LPO-005519,MED-ISS-3556,2025-08-28,Pharmacy,REC-8465,Jerry Porter,66,197.24,13017.84,Loan,Air,Pending,WB-69201,Temperature Sensitive,OPD,REQ-4782,BATCH-52685,2025-10-06,Refrigerated,Pending,Satellite Store
ISS-000966,LPO-006043,MED-ISS-1352,2025-02-14,Government Agency,REC-7672,Nicholas Meadows,49,215.1,10539.9,Emergency,Air,Pending,WB-19976,Controlled Substance,Laboratory,REQ-2829,BATCH-52687,2026-02-14,Frozen,Passed,Satellite Store
ISS-000967,LPO-007044,MED-ISS-2943,2025-07-03,Government Agency,REC-2036,Hunter Pacheco,16,109.58,1753.28,Regular,Courier,Partially Delivered,WB-93877,Fragile,Laboratory,REQ-6683,BATCH-72587,2025-11-29,Room Temperature,Pending,Satellite Store
ISS-000968,LPO-005232,MED-ISS-2312,2025-01-18,Government Agency,REC-6003,Erika Martin,97,71.96,6980.12,Regular,Road,Pending,WB-95110,Controlled Substance,Laboratory,REQ-9341,BATCH-61653,2025-03-09,Frozen,Passed,Satellite Store
ISS-000969,LPO-000131,MED-EQU-1950,2025-04-22,Government Agency,REC-2859,Nicholas Mullen,82,444.33,36435.06,Donation,Courier,Partially Delivered,WB-90140,Urgent,ER,REQ-4796,BATCH-73245,2026-01-11,Cold Chain,Conditional,Main Warehouse
ISS-000970,LPO-002622,MED-ISS-7013,2025-05-28,Hospital,REC-8913,Jordan Murphy,86,53.51,4601.86,Emergency,Road,Pending,WB-66746,Urgent,Surgery,REQ-1151,BATCH-70071,2025-10-19,Room Temperature,Passed,Cold Storage
ISS-000971,LPO-006375,MED-ISS-2264,2025-08-22,Pharmacy,REC-7841,Joshua Klein,96,266.23,25558.08,Donation,Courier,Partially Delivered,WB-99153,Temperature Sensitive,Laboratory,REQ-3154,BATCH-62503,2026-03-11,Cold Chain,Pending,Satellite Store
ISS-000972,LPO-006219,MED-ISS-8110,2024-12-28,Government Agency,REC-8512,Robert Lopez,90,279.3,25137.0,Return,Courier,In Transit,WB-17090,Urgent,ICU,REQ-7669,BATCH-87008,2025-09-13,Cold Chain,Conditional,Dispatch Center
ISS-000973,LPO-005960,MED-ISS-2262,2025-02-05,Clinic,REC-3904,Christopher Mcknight,12,163.16,1957.92,Donation,Road,Delivered,WB-11620,Fragile,Surgery,REQ-8411,BATCH-47963,2025-06-14,Frozen,Failed,Satellite Store
ISS-000974,LPO-000875,MED-ISS-1096,2025-05-18,Pharmacy,REC-8366,Dalton Rowland,66,264.36,17447.76,Regular,Road,Delivered,WB-60056,Fragile,Pediatrics,REQ-4232,BATCH-52555,2026-02-16,Cold Chain,Conditional,Dispatch Center
ISS-000975,LPO-006367,MED-ISS-3704,2025-02-12,NGO,REC-9346,Scott Butler,95,232.89,22124.55,Return,Air,Partially Delivered,WB-91894,Temperature Sensitive,ICU,REQ-7982,BATCH-23726,2026-01-27,Refrigerated,Passed,Cold Storage
ISS-000976,LPO-006172,MED-ISS-3817,2025-03-21,NGO,REC-5211,Patricia Ford,99,197.84,19586.16,Donation,Road,In Transit,WB-75089,,Maternity,REQ-1301,BATCH-88150,2025-09-24,Refrigerated,Failed,Satellite Store
ISS-000977,LPO-005636,MED-ISS-9794,2025-01-11,NGO,REC-5823,Shawn West,35,366.11,12813.85,Regular,Sea,Partially Delivered,WB-42856,Controlled Substance,Maternity,REQ-3759,BATCH-99886,2025-03-09,Room Temperature,Passed,Dispatch Center
ISS-000978,LPO-006639,MED-ISS-3154,2025-07-02,Hospital,REC-9891,Ryan Mullins,33,416.57,13746.81,Emergency,Road,Partially Delivered,WB-65705,Controlled Substance,OPD,REQ-2206,BATCH-11752,2025-10-22,Room Temperature,Conditional,Satellite Store
ISS-000979,LPO-006932,MED-ISS-6721,2025-10-11,Clinic,REC-8258,Kristin Rodriguez,91,179.7,16352.7,Emergency,Road,Delivered,WB-92613,Controlled Substance,ICU,REQ-2452,BATCH-67228,2026-02-18,Refrigerated,Pending,Main Warehouse
ISS-000980,LPO-005011,MED-ISS-6517,2025-07-26,NGO,REC-6936,Jeffrey Bell,20,301.05,6021.0,Return,Air,Partially Delivered,WB-85970,Controlled Substance,Surgery,REQ-6769,BATCH-72452,2026-05-20,Cold Chain,Failed,Satellite Store
ISS-000981,LPO-000828,MED-ISS-1395,2025-11-05,Clinic,REC-4551,Melissa Knight,38,150.33,5712.54,Emergency,Courier,Pending,WB-26089,,Maternity,REQ-3582,BATCH-41159,2026-06-06,Room Temperature,Failed,Dispatch Center
ISS-000982,LPO-005215,MED-ISS-7349,2025-04-23,NGO,REC-4554,Hailey Silva,50,36.19,1809.5,Regular,Sea,Delivered,WB-12581,,Surgery,REQ-6840,BATCH-13252,2025-11-11,Frozen,Conditional,Satellite Store
ISS-000983,LPO-004681,MED-ISS-3863,2025-02-07,Government Agency,REC-6482,Anthony Woodward,58,238.9,13856.2,Donation,Air,In Transit,WB-95634,,Laboratory,REQ-7337,BATCH-17425,2025-07-01,Cold Chain,Pending,Satellite Store
ISS-000984,LPO-005204,MED-ISS-1901,2025-04-24,Government Agency,REC-9916,Joseph Patel,32,312.44,9998.08,Donation,Sea,Pending,WB-32544,Urgent,Laboratory,REQ-8387,BATCH-42207,2025-06-28,Refrigerated,Passed,Main Warehouse
ISS-000985,LPO-006097,MED-ISS-8193,2025-07-18,Clinic,REC-2963,Sarah Flores,22,462.91,10184.02,Donation,Road,Delivered,WB-75082,,OPD,REQ-6466,BATCH-76967,2026-04-08,Frozen,Failed,Satellite Store
ISS-000986,LPO-005346,MED-ISS-7042,2025-12-02,NGO,REC-6983,Brittany Giles,23,356.17,8191.91,Return,Courier,In Transit,WB-72787,Controlled Substance,Maternity,REQ-2200,BATCH-60457,2026-02-17,Cold Chain,Passed,Satellite Store
ISS-000987,LPO-006599,MED-ISS-1540,2025-09-27,Government Agency,REC-6850,Tanya Velazquez,66,493.49,32570.34,Emergency,Sea,Pending,WB-28560,Fragile,ICU,REQ-3801,BATCH-99915,2026-02-01,Room Temperature,Conditional,Cold Storage
ISS-000988,LPO-006072,MED-ISS-3094,2025-11-26,Pharmacy,REC-7829,Andrew Blackwell,82,322.85,26473.7,Emergency,Air,Partially Delivered,WB-72778,Urgent,OPD,REQ-4875,BATCH-43725,2026-09-11,Refrigerated,Passed,Cold Storage
ISS-000989,LPO-001402,MED-ISS-9241,2025-05-13,Government Agency,REC-7218,Rhonda Gutierrez,77,246.5,18980.5,Regular,Road,Partially Delivered,WB-84131,Controlled Substance,Surgery,REQ-5519,BATCH-82781,2025-09-26,Room Temperature,Failed,Cold Storage
ISS-000990,LPO-004548,MED-ISS-4368,2025-12-25,Government Agency,REC-7112,Brandon Blackwell,12,24.1,289.2,Loan,Road,Delivered,WB-34782,Temperature Sensitive,Maternity,REQ-8070,BATCH-15830,2026-12-17,Refrigerated,Pending,Main Warehouse
ISS-000991,LPO-005524,MED-ISS-4743,2025-11-29,Hospital,REC-9760,Melissa Garrison,4,306.44,1225.76,Loan,Air,In Transit,WB-47505,Controlled Substance,Pediatrics,REQ-8007,BATCH-32571,2026-01-04,Cold Chain,Conditional,Dispatch Center
ISS-000992,LPO-004443,MED-ISS-4848,2025-06-01,Clinic,REC-5697,Alison Smith,44,279.01,12276.44,Regular,Sea,Partially Delivered,WB-27430,Controlled Substance,Surgery,REQ-5520,BATCH-60273,2025-08-25,Cold Chain,Passed,Cold Storage
ISS-000993,LPO-001505,MED-ISS-5918,2025-09-07,Hospital,REC-7707,Lisa Mason,43,497.22,21380.46,Donation,Courier,In Transit,WB-32278,Urgent,Maternity,REQ-4796,BATCH-89771,2026-09-06,Room Temperature,Conditional,Dispatch Center
ISS-000994,LPO-005168,MED-ISS-1923,2025-02-28,Pharmacy,REC-9551,Fred Johnson,82,314.97,25827.54,Return,Air,In Transit,WB-26466,Temperature Sensitive,OPD,REQ-3028,BATCH-79832,2025-10-04,Frozen,Passed,Satellite Store
ISS-000995,LPO-003216,MED-ISS-1770,2025-12-24,Pharmacy,REC-8361,Scott Barrett,2,235.22,470.44,Return,Sea,Delivered,WB-15619,,Pediatrics,REQ-2563,BATCH-83654,2026-09-27,Refrigerated,Failed,Main Warehouse
ISS-000996,LPO-003174,MED-ISS-1333,2025-01-10,Clinic,REC-3663,Jason Kim,49,226.63,11104.87,Regular,Courier,In Transit,WB-14000,Urgent,ER,REQ-3236,BATCH-14725,2025-11-19,Frozen,Passed,Dispatch Center
ISS-000997,LPO-000210,MED-EQU-5150,2025-08-20,Hospital,REC-3787,Stacy Pearson,85,399.19,33931.15,Return,Sea,Pending,WB-37656,Urgent,Laboratory,REQ-9450,BATCH-56430,2026-07-06,Cold Chain,Conditional,Cold Storage
ISS-000998,LPO-001746,MED-ISS-2644,2025-04-21,NGO,REC-3130,Barbara Espinoza,1,402.88,402.88,Emergency,Sea,Delivered,WB-57533,Controlled Substance,ICU,REQ-7776,BATCH-26489,2025-07-29,Frozen,Conditional,Dispatch Center
ISS-000999,LPO-005659,MED-ISS-4241,2025-02-22,Pharmacy,REC-8012,Mason George,10,491.82,4918.2,Donation,Road,Partially Delivered,WB-68495,,Pediatrics,REQ-5022,BATCH-41204,2025-08-18,Cold Chain,Pending,Main Warehouse
ISS-001000,LPO-002759,MED-ISS-6198,2025-03-20,Clinic,REC-1974,Beth Wilson,65,58.22,3784.3,Return,Road,Partially Delivered,WB-15542,Fragile,Pediatrics,REQ-6020,BATCH-74479,2025-12-02,Refrigerated,Failed,Satellite Store
ISS-001001,LPO-006428,MED-ISS-3611,2025-08-23,Pharmacy,REC-5419,Cynthia Schneider,11,466.87,5135.57,Regular,Air,Partially Delivered,WB-74715,Fragile,Maternity,REQ-5792,BATCH-81790,2026-01-01,Frozen,Failed,Main Warehouse
ISS-001002,LPO-000740,MED-ISS-3679,2025-01-20,Hospital,REC-7315,Morgan Allen,85,232.55,19766.75,Donation,Sea,Delivered,WB-36653,Temperature Sensitive,Pediatrics,REQ-8751,BATCH-41477,2025-04-29,Frozen,Conditional,Main Warehouse
ISS-001003,LPO-006839,MED-ISS-7159,2025-08-31,Hospital,REC-4151,Zachary Taylor,59,50.55,2982.45,Loan,Sea,Partially Delivered,WB-30365,Urgent,Pediatrics,REQ-4883,BATCH-41610,2025-10-09,Refrigerated,Failed,Cold Storage
ISS-001004,LPO-006227,MED-ISS-1991,2025-08-09,Pharmacy,REC-7860,Charles Brown,12,256.55,3078.6,Emergency,Air,Pending,WB-70903,Urgent,Laboratory,REQ-8858,BATCH-98421,2026-02-13,Cold Chain,Pending,Dispatch Center
ISS-001005,LPO-006124,MED-ISS-1679,2025-10-02,Clinic,REC-4639,Patrick Galvan,49,192.35,9425.15,Regular,Air,Pending,WB-43534,Urgent,Surgery,REQ-8096,BATCH-22105,2025-11-24,Cold Chain,Pending,Satellite Store
ISS-001006,LPO-004735,MED-ISS-3857,2025-04-03,Hospital,REC-9521,Lindsay Sanchez,38,163.93,6229.34,Return,Sea,Partially Delivered,WB-78548,Fragile,ER,REQ-8084,BATCH-79751,2025-06-10,Cold Chain,Passed,Satellite Store
ISS-001007,LPO-000612,MED-ISS-5365,2025-12-16,Clinic,REC-1427,William Wood,44,266.11,11708.84,Return,Air,Delivered,WB-30224,Urgent,ER,REQ-4363,BATCH-33610,2026-10-22,Refrigerated,Conditional,Main Warehouse
ISS-001008,LPO-000715,MED-ISS-8249,2025-06-01,Government Agency,REC-1270,Lisa Dunn,69,312.32,21550.08,Emergency,Courier,Partially Delivered,WB-20456,Urgent,ICU,REQ-7275,BATCH-61640,2026-01-03,Room Temperature,Pending,Dispatch Center
ISS-001009,LPO-006534,MED-ISS-1155,2025-08-06,Pharmacy,REC-2791,Andrew Burns,55,256.03,14081.65,Donation,Road,In Transit,WB-96316,Controlled Substance,OPD,REQ-9292,BATCH-95879,2026-04-18,Frozen,Passed,Main Warehouse
ISS-001010,LPO-001076,MED-ISS-8611,2025-02-08,Clinic,REC-1525,Patricia Terry,92,296.31,27260.52,Loan,Road,Partially Delivered,WB-15745,Temperature Sensitive,Maternity,REQ-9236,BATCH-47362,2025-11-08,Cold Chain,Failed,Dispatch Center
ISS-001011,LPO-006226,MED-ISS-6073,2025-11-18,Hospital,REC-3483,Cody Moore,4,172.22,688.88,Return,Sea,Delivered,WB-72785,Controlled Substance,ICU,REQ-5683,BATCH-38757,2026-10-21,Cold Chain,Pending,Cold Storage
ISS-001012,LPO-001809,MED-ISS-9015,2025-04-11,Clinic,REC-4527,Brandon Smith,9,431.81,3886.29,Regular,Road,In Transit,WB-24159,Urgent,Surgery,REQ-9026,BATCH-26606,2025-12-16,Frozen,Pending,Satellite Store
ISS-001013,LPO-003136,MED-ISS-3400,2025-06-10,Government Agency,REC-2762,Sharon Wells,87,359.66,31290.42,Loan,Road,Pending,WB-61362,Fragile,Maternity,REQ-1456,BATCH-18099,2026-04-03,Cold Chain,Conditional,Main Warehouse
ISS-001014,LPO-003187,MED-ISS-4828,2025-12-18,Government Agency,REC-7886,Ashley Rogers,78,220.02,17161.56,Donation,Courier,Partially Delivered,WB-66567,Controlled Substance,OPD,REQ-7692,BATCH-27628,2026-10-01,Room Temperature,Failed,Dispatch Center
